eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
SensorimotorA_DorsalAttnB,-1150.1189317276512,0.14157816526000366,-0.08252266300189147,-2260.281772092733,0.12807669191556578,-0.40954699952279205
SensorimotorA_VentralAttnA,-2315.2901372269816,0.04134950827573425,-0.027693469910291087,-4590.624183091394,-0.0038911107708024294,-0.35015221239751754
SensorimotorA_VentralAttnB,92.16678417587536,0.008149223689051133,0.011606394689389518,224.2896597143203,0.16339358792202247,-0.6207419935636865
SensorimotorA_LimbicA,-3141.0358076480934,0.06652787011895256,0.00577393611195332,-6242.115523933618,-0.5047144723928443,1.826376650857505
SensorimotorA_LimbicB,-3390.0307396738463,0.0744196791475672,-0.027766482938259954,-6740.105387985123,0.11845669619540596,-0.07991822374405821
SensorimotorA_ControlA,-2413.6518821774407,0.12099662478314155,-0.15542697357707022,-4787.347672992312,-0.02821860011683363,-0.21168964622281616
SensorimotorA_ControlB,-2553.9430703398707,0.06963868327826073,-0.028351015454088663,-5067.930049317172,0.07142748421091093,-0.2934200911738074
SensorimotorA_ControlC,-1541.1001309355715,0.014970471560024845,-0.06603621332180788,-3042.2441705085735,0.19601220685018073,-0.35228436302953825
SensorimotorA_DefaultA,-1091.3622692051758,0.04962726412420804,-0.04688193758972063,-2142.768447047782,0.019847582021376545,-0.5650228898304425
SensorimotorA_DefaultB,-2991.2288432327696,0.09510809010092525,-0.12797568646882726,-5942.50159510297,-0.2203277744003672,0.18716325294039843
SensorimotorA_DefaultC,-2646.4957310131995,0.07030614747015651,-0.10508088075103349,-5253.03537066383,-0.008289150148069479,-0.25986651599553234
SensorimotorA_TemporalParietal,-2169.7782122481335,0.03533210795608699,-0.07920950043120126,-4299.600333133698,0.1392918434587863,-0.06497766491008475
