eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
DorsalAttnA_VentralAttnB,-3395.17110667636,0.2506909935032051,-0.16608637034238324,-6750.386121990151,-0.050443894580582085,0.41474534581716593
DorsalAttnA_LimbicA,-3056.2529809903863,-0.01910397980340761,0.07340439362665285,-6072.549870618203,-0.12612675189795713,0.16271315712784604
DorsalAttnA_LimbicB,-3460.773203866196,0.026628518649951305,-0.03919690781512695,-6881.590316369823,0.038611866137751916,0.6698373462831566
DorsalAttnA_ControlA,-1381.2516543462425,-0.0035335856205636063,-0.2271939237137562,-2722.5472173299154,0.02355386547784146,0.3189258394567029
DorsalAttnA_ControlB,-4288.872958522814,0.16043135965063393,-0.0611419511858527,-8537.789825683058,-0.37064889006423424,0.12680452095958974
DorsalAttnA_ControlC,-2794.502399024572,0.27607266572551137,-0.21668085996975872,-5549.048706686574,-0.25361542267595333,0.22827223224018584
DorsalAttnA_DefaultA,-25.661596176563762,0.281659193025108,-0.19729582192305525,-11.367100990557958,-0.27568854194175385,0.665738574225073
DorsalAttnA_DefaultB,-1970.6137706742102,0.16769800172906268,-0.1151619813448375,-3901.2714499858507,0.01109834279432924,0.06274206866314176
DorsalAttnA_DefaultC,-1205.6074483248558,0.30560130352926196,-0.1578506705088892,-2371.258805287142,0.093694237672813,0.6994145059833882
DorsalAttnA_TemporalParietal,-977.8136064993378,0.38127144133130864,-0.25370051583287356,-1915.671121636106,-0.19413997711438902,0.38206472709406103
DorsalAttnB_VentralAttnA,-4624.329280633432,-0.08535994295987992,0.17496911657149494,-9208.702469904294,-0.6255200398941639,1.244099522038953
DorsalAttnB_VentralAttnB,-2765.0669262532556,0.1751638831205945,-0.042638499694908245,-5490.177761143942,-0.18736596263412256,0.49404692511919246
DorsalAttnB_LimbicA,-2489.51851898532,-0.058778406052811594,0.04718450864390456,-4939.080946608071,0.34880977535455193,0.4134581450699269
DorsalAttnB_LimbicB,-2591.3443383121194,0.01851596717010906,0.19160888289614375,-5142.73258526167,0.4729271332158853,1.2689047605390609
DorsalAttnB_ControlA,-2070.7614275220913,0.05960993626456523,-0.03814228235645934,-4101.566763681613,-0.07515851533738237,-0.01544839473188023
DorsalAttnB_ControlB,-3594.357325698409,0.08857078784988004,0.0926351802777413,-7148.758560034249,0.033257593760087155,0.4553355944956034
DorsalAttnB_ControlC,-2428.367131934251,0.2987554501237133,-0.19623441748194292,-4816.778172505933,0.12504193533840643,0.5521662324823168
DorsalAttnB_DefaultA,547.2929919080088,0.3177556496943842,-0.15358011203393607,1134.5420751785873,-0.20598498710235802,2.5115428247250464
DorsalAttnB_DefaultB,-1451.5426437031892,0.25447224659121226,-0.08824296741621636,-2863.129196043809,0.09778050154582388,0.020195576666175916
